name,World bank region,"World bank, 4 income groups 2017"
American Samoa,East Asia & Pacific,Upper middle income
Aruba,Latin America & Caribbean,High income
Bermuda,North America,High income
Cayman Islands,Latin America & Caribbean,High income
Channel Islands,Europe & Central Asia,High income
Faeroe Islands,Europe & Central Asia,High income
French Polynesia,East Asia & Pacific,High income
Greenland,Europe & Central Asia,High income
Guam,East Asia & Pacific,High income
Isle of Man,Europe & Central Asia,High income
"Macao SAR, China",East Asia & Pacific,High income
New Caledonia,East Asia & Pacific,High income
Northern Mariana Islands,East Asia & Pacific,High income
Puerto Rico,Latin America & Caribbean,High income
Turks and Caicos Islands,Latin America & Caribbean,High income
Virgin Islands (U.S.),Latin America & Caribbean,High income
West Bank and Gaza,Middle East & North Africa,Lower middle income